Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],HX711_readings,Applied_Torque[Nm]
527.6,-0.12,0.07,-0.02,1.48,-9.65,1.09,6063567.0,0.8
527.7,-0.12,0.06,-0.04,1.47,-9.66,1.1,6063511.0,0.8
527.81,-0.13,0.02,-0.05,1.45,-9.67,1.11,6063593.0,0.8
527.92,-0.15,-0.01,-0.04,1.45,-9.67,1.11,6063824.0,0.8
528.03,-0.19,-0.01,-0.01,1.45,-9.67,1.1,6064038.0,0.8
528.13,-0.21,0.01,0.01,1.45,-9.66,1.08,6064246.0,0.8
528.24,-0.2,0.03,0.01,1.45,-9.65,1.06,6064384.0,0.8
528.35,-0.18,0.04,-0.01,1.46,-9.65,1.05,6064413.0,0.8
528.46,-0.16,0.06,-0.0,1.46,-9.64,1.05,6064365.0,0.8
528.56,-0.12,0.07,0.03,1.46,-9.64,1.04,6064350.0,0.8
528.67,-0.1,0.04,0.05,1.46,-9.63,1.05,6064397.0,0.8
528.78,-0.11,0.0,0.04,1.45,-9.63,1.05,6064420.0,0.8
528.88,-0.13,-0.03,0.01,1.44,-9.63,1.05,6064366.0,0.8
528.99,-0.15,-0.04,-0.02,1.44,-9.62,1.07,6064169.0,0.8
529.1,-0.13,-0.05,-0.04,1.44,-9.62,1.09,6063842.0,0.8
529.21,-0.11,-0.06,-0.06,1.44,-9.63,1.1,6063540.0,0.8
529.31,-0.11,-0.05,-0.07,1.44,-9.63,1.11,6063280.0,0.8
529.42,-0.12,-0.01,-0.05,1.44,-9.65,1.1,6063086.0,0.8
529.53,-0.1,0.01,-0.03,1.43,-9.65,1.1,6062643.0,0.8
529.64,-0.1,0.01,-0.0,1.44,-9.65,1.09,6062378.0,0.8
529.75,-0.12,-0.02,0.02,1.44,-9.64,1.08,6062208.0,0.8
529.86,-0.12,-0.05,0.04,1.44,-9.65,1.06,6062058.0,0.8
529.96,-0.1,-0.07,0.05,1.44,-9.66,1.05,6061959.0,0.8
530.07,-0.1,-0.08,0.05,1.45,-9.66,1.05,6061959.0,0.8
530.18,-0.12,-0.06,0.03,1.46,-9.66,1.07,6062373.0,0.8
530.29,-0.14,-0.03,-0.0,1.46,-9.66,1.08,6062601.0,0.8
530.39,-0.14,-0.0,-0.04,1.45,-9.66,1.08,6062785.0,0.8
530.5,-0.13,0.01,-0.04,1.44,-9.65,1.07,6062952.0,0.8
530.61,-0.12,0.0,-0.04,1.43,-9.64,1.08,6063118.0,0.8
530.72,-0.13,-0.02,-0.05,1.43,-9.63,1.1,6063221.0,0.8
530.83,-0.15,-0.03,-0.05,1.43,-9.62,1.11,6063204.0,0.8
530.93,-0.17,-0.03,-0.03,1.44,-9.62,1.11,6063240.0,0.8
531.04,-0.19,-0.02,-0.04,1.45,-9.62,1.1,6063259.0,0.8
531.15,-0.2,-0.03,-0.04,1.44,-9.64,1.09,6063337.0,0.8
531.26,-0.19,-0.05,-0.03,1.43,-9.64,1.09,6063503.0,0.8
531.37,-0.18,-0.07,-0.02,1.42,-9.65,1.09,6063951.0,0.8
531.48,-0.18,-0.07,-0.01,1.41,-9.65,1.1,6063918.0,0.8
531.59,-0.2,-0.06,-0.01,1.41,-9.65,1.1,6063684.0,0.8
531.7,-0.22,-0.07,-0.0,1.41,-9.64,1.09,6063393.0,0.8
531.8,-0.21,-0.07,-0.0,1.41,-9.64,1.07,6063318.0,0.8
531.91,-0.2,-0.04,-0.01,1.41,-9.64,1.06,6063383.0,0.8
532.02,-0.17,-0.01,-0.01,1.42,-9.63,1.05,6063712.0,0.8
532.13,-0.12,-0.0,0.01,1.43,-9.63,1.05,6063835.0,0.8
532.24,-0.09,-0.0,0.02,1.45,-9.63,1.08,6063892.0,0.8
532.35,-0.09,-0.0,0.01,1.44,-9.62,1.1,6063929.0,0.8
532.45,-0.11,-0.01,-0.03,1.43,-9.62,1.1,6064065.0,0.8
532.56,-0.13,-0.03,-0.04,1.43,-9.61,1.08,6064230.0,0.8
532.67,-0.15,-0.03,-0.01,1.43,-9.61,1.08,6064224.0,0.8
532.78,-0.16,0.0,0.04,1.44,-9.62,1.09,6064114.0,0.8
532.89,-0.16,0.04,0.05,1.46,-9.63,1.09,6064038.0,0.8
532.99,-0.17,0.06,0.04,1.47,-9.63,1.08,6063956.0,0.8
533.1,-0.17,0.06,0.03,1.47,-9.63,1.07,6063898.0,0.8
533.21,-0.16,0.04,0.03,1.46,-9.62,1.06,6063790.0,0.8
533.31,-0.15,0.01,0.04,1.45,-9.63,1.06,6063551.0,0.8
533.42,-0.13,-0.01,0.02,1.43,-9.64,1.06,6063557.0,0.8
