Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Nm]
9.58,0.02,-0.04,-0.0,0.53,0.0,9.33,0.89
9.6,0.02,-0.03,0.0,0.53,0.0,9.32,1.17
9.62,-0.01,0.0,0.02,0.54,0.0,9.33,1.38
9.64,-0.04,0.05,0.04,0.54,0.0,9.33,1.34
9.65,-0.06,0.09,0.06,0.54,0.01,9.33,1.07
9.67,-0.06,0.11,0.09,0.53,0.02,9.33,0.83
9.69,-0.05,0.11,0.1,0.53,0.02,9.31,0.77
9.71,-0.04,0.09,0.09,0.53,0.02,9.29,0.8
9.73,-0.05,0.06,0.08,0.52,0.01,9.28,0.71
9.74,-0.08,0.02,0.09,0.5,-0.0,9.28,0.35
9.76,-0.09,-0.01,0.08,0.49,-0.0,9.29,-0.07
9.78,-0.08,-0.02,0.05,0.5,0.0,9.31,-0.36
9.8,-0.07,-0.03,0.02,0.5,0.0,9.31,-0.39
9.82,-0.05,-0.04,-0.0,0.51,0.01,9.32,-0.37
9.83,-0.06,-0.06,-0.02,0.51,0.01,9.32,-0.49
9.85,-0.08,-0.08,-0.01,0.52,0.01,9.32,-0.77
9.87,-0.09,-0.08,0.0,0.52,0.01,9.31,-0.98
9.89,-0.08,-0.06,0.01,0.53,0.02,9.3,-0.93
9.9,-0.06,-0.04,0.02,0.53,0.01,9.31,-0.67
9.92,-0.03,-0.05,0.02,0.53,0.01,9.32,-0.43
9.94,-0.01,-0.05,0.02,0.52,0.01,9.33,-0.37
9.96,0.01,-0.04,0.0,0.52,0.0,9.33,-0.4
9.98,0.02,-0.01,-0.01,0.52,-0.0,9.33,-0.3
9.99,0.01,0.0,-0.01,0.52,-0.01,9.31,0.05
10.01,-0.02,-0.01,-0.01,0.53,-0.01,9.3,0.49
10.03,-0.05,-0.05,-0.01,0.54,-0.0,9.28,0.76
10.05,-0.08,-0.05,0.0,0.54,-0.0,9.28,0.79
10.06,-0.08,-0.01,0.01,0.53,-0.0,9.29,0.77
10.08,-0.07,0.06,0.0,0.52,-0.01,9.31,0.9
10.1,-0.06,0.09,-0.0,0.52,-0.01,9.31,1.17
10.12,-0.04,0.09,-0.01,0.52,-0.01,9.31,1.39
10.14,-0.01,0.08,-0.03,0.52,0.0,9.31,1.33
10.16,0.01,0.06,-0.04,0.53,0.0,9.32,1.05
10.17,-0.01,0.03,-0.06,0.54,-0.0,9.33,0.83
10.19,-0.04,0.0,-0.07,0.54,-0.01,9.33,0.77
10.21,-0.05,-0.01,-0.06,0.55,-0.01,9.34,0.8
10.23,-0.05,-0.02,-0.05,0.55,-0.01,9.33,0.68
10.25,-0.04,-0.0,-0.04,0.55,-0.02,9.32,0.3
10.26,-0.02,0.02,-0.03,0.54,-0.03,9.31,-0.11
10.28,-0.0,0.01,-0.02,0.54,-0.02,9.3,-0.37
10.3,0.01,-0.02,-0.01,0.55,-0.02,9.3,-0.39
10.32,0.01,-0.04,0.0,0.57,-0.02,9.29,-0.37
10.34,0.01,-0.05,0.02,0.57,-0.01,9.29,-0.51
10.35,-0.0,-0.04,0.03,0.56,0.0,9.29,-0.8
10.37,-0.02,-0.01,0.02,0.54,0.01,9.29,-0.99
10.39,-0.03,0.02,0.01,0.54,0.02,9.29,-0.91
10.41,-0.02,0.03,-0.01,0.53,0.02,9.28,-0.65
10.43,-0.02,-0.0,-0.01,0.53,0.03,9.29,-0.41
10.44,-0.03,-0.04,-0.02,0.53,0.03,9.29,-0.37
10.46,-0.04,-0.06,-0.02,0.54,0.03,9.3,-0.4
10.48,-0.04,-0.05,-0.02,0.54,0.03,9.32,-0.27
10.5,-0.02,-0.03,0.0,0.54,0.03,9.33,0.12
10.51,-0.0,0.0,0.01,0.54,0.02,9.33,0.53
10.53,0.01,0.02,0.01,0.54,0.02,9.33,0.77
10.55,0.0,0.02,-0.01,0.53,0.01,9.33,0.79
10.57,-0.02,0.01,-0.03,0.53,0.0,9.33,0.77
10.59,-0.05,-0.02,-0.04,0.52,-0.0,9.33,0.93
10.6,-0.06,-0.03,-0.03,0.52,-0.01,9.32,1.22
10.62,-0.06,-0.02,-0.01,0.52,-0.01,9.31,1.39
10.64,-0.06,0.01,0.01,0.52,-0.01,9.3,1.3
10.66,-0.03,0.04,0.03,0.52,0.0,9.31,1.04
10.68,0.0,0.05,0.03,0.52,0.0,9.31,0.8
10.69,0.02,0.04,0.03,0.53,0.01,9.31,0.77
10.71,0.03,0.03,0.04,0.53,0.01,9.31,0.8
10.73,0.02,0.03,0.05,0.54,0.01,9.32,0.65
10.75,0.0,0.03,0.06,0.54,0.01,9.33,0.28
10.77,0.01,0.03,0.07,0.55,0.03,9.34,-0.15
10.78,0.03,0.04,0.07,0.55,0.04,9.34,-0.38
10.8,0.03,0.06,0.05,0.55,0.04,9.33,-0.39
10.82,0.0,0.07,0.02,0.55,0.04,9.33,-0.38
10.84,-0.01,0.08,-0.01,0.56,0.03,9.33,-0.53
10.85,0.01,0.09,-0.03,0.56,0.02,9.32,-0.83
10.87,0.03,0.09,-0.04,0.56,0.01,9.32,-1.0
10.89,0.04,0.09,-0.03,0.57,0.01,9.31,-0.89
10.91,0.04,0.08,-0.01,0.57,0.01,9.31,-0.62
10.93,0.06,0.06,0.0,0.56,0.01,9.3,-0.4
10.94,0.05,0.04,0.0,0.54,-0.0,9.3,-0.37
10.96,0.05,0.02,0.0,0.53,-0.01,9.3,-0.4
10.98,0.04,0.01,-0.0,0.52,-0.0,9.31,-0.24
11.0,0.04,-0.01,-0.02,0.52,0.01,9.32,0.15
11.02,0.04,-0.02,-0.03,0.52,0.02,9.32,0.57
11.03,0.05,-0.0,-0.02,0.53,0.01,9.32,0.78
11.05,0.05,0.01,0.01,0.54,-0.0,9.33,0.78
11.07,0.06,0.03,0.04,0.55,-0.0,9.33,0.78
11.09,0.06,0.04,0.03,0.55,-0.0,9.33,0.94
11.1,0.06,0.04,0.0,0.55,-0.0,9.34,1.23
11.12,0.05,0.03,-0.02,0.55,-0.0,9.34,1.4
11.14,0.03,0.01,-0.03,0.55,-0.01,9.34,1.29
11.16,0.01,-0.01,-0.03,0.54,-0.01,9.33,1.0
11.18,-0.01,-0.02,-0.0,0.54,-0.01,9.32,0.8
11.19,-0.01,-0.02,0.02,0.53,-0.0,9.3,0.78
11.21,-0.01,-0.02,0.04,0.53,-0.0,9.29,0.8
11.23,-0.03,-0.01,0.03,0.54,-0.0,9.29,0.62
11.25,-0.04,-0.02,0.02,0.54,-0.01,9.3,0.25
11.27,-0.03,-0.03,0.02,0.55,-0.01,9.31,-0.19
11.28,-0.01,-0.04,0.03,0.55,-0.0,9.32,-0.39
11.3,0.04,-0.02,0.04,0.55,0.01,9.32,-0.38
11.32,0.1,-0.02,0.02,0.55,0.01,9.31,-0.38
11.34,0.13,-0.02,-0.0,0.54,0.01,9.32,-0.56
11.36,0.12,0.0,-0.03,0.54,0.01,9.33,-0.86
11.37,0.1,0.03,-0.05,0.55,0.01,9.34,-1.0
11.39,0.07,0.02,-0.07,0.55,0.01,9.35,-0.86
11.41,0.02,-0.0,-0.07,0.55,0.0,9.34,-0.59
11.43,-0.01,-0.01,-0.06,0.56,-0.0,9.34,-0.39
11.45,-0.01,0.0,-0.06,0.56,0.0,9.34,-0.38
11.46,-0.01,0.01,-0.06,0.56,0.01,9.33,-0.39
11.48,-0.01,0.02,-0.03,0.55,0.01,9.33,-0.21
11.5,-0.03,0.01,-0.0,0.53,0.0,9.33,0.2
11.52,-0.05,-0.02,0.0,0.53,-0.01,9.34,0.59
11.54,-0.07,-0.05,-0.0,0.52,-0.02,9.35,0.79
11.55,-0.09,-0.07,-0.01,0.51,-0.02,9.35,0.78
11.57,-0.09,-0.08,0.01,0.5,-0.01,9.34,0.79
11.59,-0.09,-0.06,0.03,0.5,-0.0,9.33,0.97
11.61,-0.08,-0.02,0.06,0.51,0.01,9.32,1.27
11.63,-0.04,0.0,0.09,0.51,0.01,9.32,1.4
11.64,-0.0,0.02,0.11,0.51,0.02,9.32,1.26
11.66,0.0,0.0,0.09,0.51,0.02,9.32,0.97
11.68,-0.01,-0.0,0.05,0.51,0.02,9.33,0.78
11.7,-0.02,-0.0,0.02,0.51,0.02,9.33,0.78
11.72,-0.04,-0.01,0.0,0.52,0.01,9.33,0.79
11.73,-0.05,-0.03,-0.01,0.53,0.01,9.32,0.61
11.75,-0.03,-0.03,-0.03,0.53,0.01,9.31,0.17
11.77,-0.02,-0.03,-0.04,0.54,0.0,9.3,-0.21
11.79,-0.01,-0.02,-0.05,0.53,0.01,9.32,-0.39
11.8,-0.01,-0.01,-0.05,0.53,0.01,9.32,-0.38
11.82,-0.02,0.01,-0.05,0.53,0.01,9.32,-0.4
11.84,-0.02,0.01,-0.04,0.54,0.01,9.31,-0.59
11.86,-0.05,0.0,-0.01,0.55,0.01,9.31,-0.87
11.88,-0.08,-0.0,0.01,0.55,0.01,9.31,-1.0
11.89,-0.11,-0.01,0.02,0.55,0.01,9.32,-0.85
11.91,-0.11,-0.01,0.03,0.55,0.01,9.34,-0.56
11.93,-0.08,-0.0,0.03,0.54,0.02,9.34,-0.38
11.95,-0.05,0.0,0.03,0.54,0.02,9.33,-0.38
11.97,-0.04,0.01,0.01,0.54,0.02,9.31,-0.38
11.98,-0.04,0.01,-0.01,0.54,0.01,9.31,-0.19
12.0,-0.03,0.0,-0.02,0.55,0.0,9.31,0.25
12.02,-0.03,-0.01,-0.03,0.56,-0.0,9.32,0.62
12.04,-0.05,-0.04,-0.03,0.56,-0.0,9.32,0.8
12.06,-0.05,-0.05,-0.01,0.56,-0.0,9.31,0.78
12.07,-0.05,-0.04,-0.01,0.56,-0.0,9.3,0.8
12.09,-0.04,-0.0,-0.0,0.56,-0.0,9.3,1.0
12.11,-0.03,0.02,0.0,0.57,-0.0,9.31,1.29
12.13,-0.03,0.03,0.01,0.57,-0.0,9.32,1.4
12.15,-0.05,0.02,0.02,0.56,-0.0,9.34,1.23
12.16,-0.05,0.0,0.04,0.55,0.01,9.35,0.94
12.18,-0.05,-0.03,0.06,0.55,0.01,9.36,0.78
12.2,-0.03,-0.05,0.08,0.55,0.02,9.36,0.78
12.22,0.0,-0.05,0.09,0.54,0.02,9.36,0.78
12.23,-0.0,-0.03,0.09,0.53,0.02,9.35,0.57
12.25,-0.02,0.0,0.09,0.52,0.01,9.33,0.12
12.27,-0.03,0.05,0.08,0.51,0.01,9.31,-0.24
12.29,-0.01,0.09,0.05,0.51,0.0,9.29,-0.4
12.31,0.01,0.11,0.04,0.5,-0.0,9.29,-0.37
12.32,0.02,0.12,0.03,0.5,-0.0,9.29,-0.4
12.34,0.02,0.13,0.03,0.51,0.01,9.29,-0.62
12.36,-0.0,0.13,0.03,0.51,0.01,9.31,-0.9
12.38,-0.05,0.12,0.02,0.52,0.02,9.32,-1.0
12.4,-0.09,0.08,-0.01,0.52,0.01,9.33,-0.82
12.41,-0.12,0.05,-0.02,0.51,0.0,9.33,-0.54
12.43,-0.13,-0.0,-0.03,0.5,-0.01,9.32,-0.37
12.45,-0.14,-0.05,-0.04,0.5,-0.02,9.32,-0.39
12.47,-0.13,-0.07,-0.05,0.5,-0.03,9.33,-0.37
12.48,-0.12,-0.1,-0.04,0.51,-0.03,9.35,-0.15
12.5,-0.1,-0.13,-0.04,0.51,-0.02,9.36,0.3
12.52,-0.06,-0.12,-0.05,0.52,-0.01,9.37,0.65
12.54,-0.04,-0.1,-0.06,0.53,-0.0,9.37,0.8
12.56,-0.02,-0.08,-0.07,0.54,0.01,9.36,0.77
12.57,0.0,-0.06,-0.04,0.55,0.02,9.35,0.81
12.59,0.02,-0.03,0.0,0.55,0.03,9.35,1.04
12.61,0.03,0.0,0.05,0.54,0.03,9.35,1.31
12.63,0.01,0.01,0.08,0.52,0.03,9.35,1.4
12.65,-0.0,-0.0,0.09,0.51,0.02,9.34,1.2
12.66,-0.0,-0.03,0.08,0.51,0.01,9.34,0.93
12.68,0.01,-0.06,0.06,0.51,0.0,9.33,0.77
12.7,0.01,-0.08,0.05,0.51,-0.0,9.32,0.79
12.72,-0.01,-0.07,0.04,0.52,-0.0,9.32,0.77
12.74,-0.03,-0.03,0.02,0.53,-0.0,9.3,0.51
12.75,-0.05,0.01,0.0,0.53,0.0,9.29,0.1
12.77,-0.06,0.03,-0.01,0.54,0.01,9.31,-0.27
12.79,-0.03,0.04,-0.01,0.55,0.01,9.34,-0.4
12.81,0.0,0.06,-0.02,0.55,0.0,9.34,-0.37
12.83,0.03,0.06,-0.02,0.54,-0.0,9.33,-0.42
12.85,0.04,0.06,-0.02,0.54,-0.0,9.31,-0.67
12.86,0.06,0.04,-0.01,0.54,-0.0,9.3,-0.92
12.88,0.07,0.03,0.01,0.54,0.0,9.31,-0.99
12.9,0.07,0.02,0.02,0.53,0.01,9.32,-0.78
12.92,0.03,0.01,0.01,0.53,0.01,9.33,-0.51
12.93,-0.01,0.03,-0.02,0.53,0.01,9.33,-0.37
12.95,-0.03,0.05,-0.03,0.52,0.01,9.32,-0.39
12.97,-0.02,0.06,-0.03,0.53,-0.0,9.32,-0.37
12.99,-0.0,0.05,-0.02,0.53,-0.01,9.34,-0.09
13.01,-0.01,0.02,0.0,0.53,-0.01,9.35,0.32
13.02,-0.02,0.01,0.02,0.52,-0.0,9.35,0.7
13.04,-0.02,0.0,0.02,0.52,-0.0,9.35,0.8
13.06,-0.01,-0.0,0.02,0.51,-0.0,9.35,0.77
13.08,0.01,-0.02,0.01,0.51,-0.0,9.35,0.83
13.09,0.02,-0.03,0.01,0.51,-0.0,9.35,1.05
13.11,0.02,-0.04,0.02,0.52,-0.0,9.34,1.33
13.13,0.01,-0.07,0.03,0.52,-0.0,9.32,1.39
13.15,0.02,-0.1,0.03,0.52,-0.0,9.31,1.17
13.17,0.04,-0.12,0.02,0.52,-0.01,9.31,0.89
13.19,0.04,-0.1,-0.02,0.52,-0.02,9.31,0.77
13.2,0.05,-0.07,-0.05,0.51,-0.02,9.3,0.79
13.22,0.07,-0.03,-0.06,0.51,-0.01,9.29,0.76
13.24,0.08,0.03,-0.06,0.51,0.0,9.29,0.47
13.26,0.04,0.08,-0.04,0.52,0.02,9.29,0.05
13.27,-0.0,0.11,-0.02,0.52,0.03,9.29,-0.31
13.29,-0.04,0.13,0.01,0.53,0.04,9.29,-0.4
13.31,-0.06,0.13,0.03,0.53,0.03,9.3,-0.37
13.33,-0.07,0.12,0.02,0.54,0.02,9.3,-0.43
13.35,-0.07,0.09,0.0,0.54,0.02,9.29,-0.68
13.36,-0.05,0.07,-0.01,0.53,0.01,9.28,-0.94
13.38,-0.04,0.06,-0.01,0.53,0.01,9.29,-0.98
