Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2]
9.69,-0.08,0.03,-0.02,-8.2,-0.24,-5.73
9.8,-0.08,0.04,-0.02,-8.21,-0.25,-5.73
9.92,-0.08,0.03,-0.02,-8.21,-0.25,-5.74
10.03,-0.07,0.03,-0.01,-8.21,-0.25,-5.74
10.15,-0.06,0.03,-0.01,-8.21,-0.25,-5.74
10.27,-0.06,0.02,-0.01,-8.21,-0.24,-5.74
10.38,-0.06,0.02,-0.01,-8.21,-0.24,-5.74
10.5,-0.06,0.03,-0.01,-8.21,-0.24,-5.73
10.61,-0.07,0.04,-0.01,-8.2,-0.25,-5.73
10.73,-0.08,0.04,-0.01,-8.2,-0.25,-5.73
10.85,-0.07,0.03,-0.01,-8.2,-0.25,-5.73
10.96,-0.07,0.02,-0.01,-8.2,-0.25,-5.73
11.08,-0.07,0.02,-0.01,-8.21,-0.25,-5.73
11.19,-0.07,0.02,-0.01,-8.21,-0.25,-5.73
11.31,-0.07,0.02,-0.01,-8.21,-0.25,-5.73
11.43,-0.07,0.01,-0.02,-8.21,-0.25,-5.73
11.54,-0.07,0.02,-0.02,-8.21,-0.25,-5.73
11.66,-0.07,0.01,-0.03,-8.21,-0.25,-5.73
11.77,-0.07,0.01,-0.03,-8.21,-0.24,-5.73
11.89,-0.07,0.01,-0.03,-8.21,-0.24,-5.73
12.01,-0.06,0.01,-0.02,-8.21,-0.24,-5.73
12.12,-0.06,0.01,-0.02,-8.21,-0.24,-5.73
12.24,-0.06,0.02,-0.02,-8.21,-0.24,-5.73
12.35,-0.06,0.01,-0.02,-8.21,-0.24,-5.73
12.47,-0.06,0.0,-0.02,-8.21,-0.25,-5.73
12.59,-0.07,0.0,-0.02,-8.21,-0.25,-5.73
12.7,-0.09,0.01,-0.01,-8.21,-0.25,-5.73
12.82,-0.09,0.02,-0.01,-8.21,-0.25,-5.74
12.93,-0.09,0.02,-0.01,-8.21,-0.25,-5.74
13.05,-0.09,0.02,-0.02,-8.21,-0.25,-5.74
13.17,-0.08,0.02,-0.01,-8.21,-0.25,-5.74
13.28,-0.07,0.02,-0.01,-8.21,-0.24,-5.74
13.4,-0.07,0.03,-0.01,-8.21,-0.24,-5.74
13.51,-0.07,0.03,-0.02,-8.21,-0.24,-5.74
13.63,-0.08,0.03,-0.02,-8.21,-0.24,-5.74
13.75,-0.08,0.03,-0.02,-8.21,-0.24,-5.74
13.86,-0.09,0.03,-0.03,-8.21,-0.24,-5.74
13.98,-0.09,0.02,-0.03,-8.21,-0.25,-5.74
14.09,-0.09,0.01,-0.03,-8.21,-0.25,-5.73
14.21,-0.08,0.01,-0.02,-8.21,-0.25,-5.73
14.32,-0.07,0.02,-0.02,-8.21,-0.25,-5.73
14.44,-0.07,0.02,-0.02,-8.2,-0.25,-5.73
14.56,-0.07,0.03,-0.02,-8.2,-0.24,-5.73
14.67,-0.08,0.03,-0.02,-8.2,-0.24,-5.73
14.79,-0.08,0.03,-0.02,-8.2,-0.24,-5.73
14.91,-0.08,0.03,-0.03,-8.2,-0.24,-5.73
15.02,-0.09,0.02,-0.02,-8.21,-0.24,-5.74
15.14,-0.09,0.02,-0.02,-8.21,-0.24,-5.73
15.25,-0.08,0.02,-0.01,-8.21,-0.24,-5.74
15.37,-0.07,0.03,-0.01,-8.21,-0.24,-5.74
15.48,-0.07,0.04,-0.02,-8.21,-0.24,-5.74
15.6,-0.07,0.05,-0.02,-8.21,-0.24,-5.74
15.72,2.84,-0.93,4.44,-8.14,0.2,-5.86
15.83,-4.22,2.24,4.23,-7.98,1.6,-6.03
15.95,-30.63,23.83,-24.58,-8.17,2.56,-6.19
16.06,-34.6,40.14,-76.26,-8.54,1.51,-6.62
16.18,5.72,12.62,-119.64,-8.12,-0.59,-6.95
16.3,47.33,-37.52,-137.03,-7.07,-2.98,-6.4
16.41,51.16,-72.36,-127.87,-6.21,-5.63,-4.69
16.53,14.44,-65.73,-90.28,-5.84,-7.82,-2.56
16.65,-36.48,-16.22,-25.47,-5.71,-8.68,-1.45
16.76,-74.12,34.92,42.39,-5.89,-8.09,-2.04
16.88,-86.05,57.98,79.17,-6.75,-6.75,-3.86
17.0,-65.35,52.65,60.82,-7.79,-5.41,-5.84
17.11,-15.78,21.42,-4.58,-8.38,-5.02,-6.98
17.23,44.97,-35.66,-67.45,-8.19,-5.75,-6.6
17.35,83.44,-98.73,-90.9,-6.61,-6.39,-4.78
17.46,67.25,-121.24,-77.42,-3.94,-6.7,-2.4
17.58,14.81,-83.54,-35.19,-1.96,-7.21,-0.57
17.69,-33.02,-15.99,22.56,-1.84,-7.72,-0.07
17.81,-68.29,44.67,75.64,-3.3,-7.76,-1.01
17.93,-85.12,70.59,111.57,-5.42,-6.94,-2.83
18.04,-58.79,42.56,139.68,-6.77,-5.61,-4.99
18.16,11.67,3.78,163.38,-6.87,-4.15,-6.68
18.28,68.29,0.36,153.33,-6.67,-2.16,-6.99
18.39,66.07,5.22,103.74,-6.8,-0.39,-6.57
18.51,35.05,1.77,49.11,-7.13,0.28,-6.38
18.63,11.66,-1.44,13.94,-7.52,0.33,-6.27
18.74,-0.28,-3.75,-1.85,-7.86,0.2,-6.11
18.86,-4.58,-3.95,-6.56,-8.06,0.05,-5.97
18.97,-4.74,-2.92,-6.15,-8.16,-0.06,-5.89
19.09,-3.28,-1.83,-3.89,-8.19,-0.12,-5.84
19.21,-1.7,-1.03,-1.71,-8.19,-0.14,-5.82
19.32,-0.58,-0.6,-0.21,-8.18,-0.14,-5.81
19.44,0.02,-0.45,0.61,-8.17,-0.12,-5.8
19.55,0.23,-0.41,0.85,-8.17,-0.11,-5.8
19.67,0.24,-0.39,0.75,-8.17,-0.1,-5.79
19.79,0.16,-0.37,0.54,-8.17,-0.09,-5.79
19.9,0.08,-0.35,0.37,-8.17,-0.08,-5.79
20.02,0.01,-0.34,0.26,-8.17,-0.08,-5.79
20.13,-0.02,-0.32,0.2,-8.18,-0.08,-5.78
20.25,-0.04,-0.3,0.18,-8.18,-0.07,-5.77
20.36,0.18,3.11,-0.73,-8.16,-0.1,-5.74
20.48,1.5,12.88,-8.91,-8.18,-0.25,-5.67
20.6,3.56,20.34,-28.06,-8.3,-0.56,-5.57
20.71,6.6,18.14,-46.77,-8.46,-1.01,-5.54
20.83,17.83,3.95,-52.93,-8.71,-1.71,-5.49
20.94,37.15,-24.33,-46.34,-8.98,-2.6,-4.95
21.06,50.88,-52.46,-33.5,-8.8,-3.34,-3.77
21.18,51.44,-61.63,-20.21,-8.02,-3.76,-2.39
21.29,41.15,-47.0,-7.05,-7.39,-4.02,-1.32
21.41,26.75,-19.66,5.4,-7.48,-4.23,-0.78
21.53,14.4,5.54,16.18,-7.92,-4.35,-0.72
21.64,4.44,24.87,25.68,-8.33,-4.25,-0.99
21.76,-5.85,35.88,30.94,-8.65,-3.82,-1.49
21.87,-17.37,33.6,27.59,-8.99,-3.21,-2.15
21.99,-29.22,22.24,15.05,-9.25,-2.72,-2.86
22.11,-40.36,12.49,-3.09,-9.24,-2.48,-3.5
22.22,-52.54,5.61,-30.07,-9.22,-2.53,-4.03
22.34,-59.17,-13.45,-66.54,-9.15,-3.17,-4.37
22.46,-41.22,-46.67,-95.97,-8.46,-4.63,-4.18
